map_kpa \ rpm,600,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000
320,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
300,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
270,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
240,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
210,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
190,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
160,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
130,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
110,8.4,10.5,16.5,20.5,21.0,27.5,29.8,31.0,29.8,26.7,25.0,25.2,26.7,28.2,28.2,28.2
100,9.0,10.8,16.8,20.8,21.5,27.7,30.0,31.1,29.9,26.9,25.3,25.4,26.9,28.4,28.4,28.4
90,10.8,12.3,18.0,22.0,23.9,28.5,30.7,31.4,30.3,28.0,26.8,26.5,28.0,29.5,29.5,29.5
80,11.8,13.5,19.0,23.0,25.9,30.4,31.9,32.4,31.2,29.1,27.7,27.7,29.0,30.2,30.2,30.2
70,13.1,14.7,20.0,23.9,27.7,32.7,33.7,34.2,32.5,30.2,28.4,29.0,29.9,30.7,30.7,30.7
60,15.1,16.6,21.3,25.1,30.3,35.0,36.0,36.6,34.8,31.9,29.8,30.5,31.1,31.8,31.8,31.8
45,19.0,20.1,23.2,28.6,37.1,40.5,41.2,42.7,41.0,36.1,33.4,33.1,34.4,35.7,35.7,35.7
30,22.7,23.6,25.2,32.1,42.4,44.6,44.7,45.0,44.7,41.2,37.4,35.7,37.8,39.9,39.9,39.9
15,26.3,10.0,15.0,15.0,30.0,35.0,35.0,35.0,40.0,45.0,42.7,38.3,40.7,43.1,43.1,43.1
