map_kpa \ rpm,500,800,1000,1250,1500,1750,2000,2250,2500,2750,3000,3500,4000,4500,5000,5500,5800,6000,7000,8100
102,8.0,9.2,10.5,12.8,16.5,19.3,20.5,20.5,21.0,24.0,27.5,29.8,31.0,29.8,26.7,25.0,24.6,25.2,28.2,28.2
96,10.0,10.5,11.5,14.0,17.5,20.0,21.5,22.0,22.5,25.7,28.0,30.3,31.2,30.0,27.3,26.0,25.5,25.8,28.8,28.8
85,11.0,12.0,13.0,15.5,18.5,20.7,22.5,23.5,25.0,27.0,29.0,31.0,31.5,30.5,28.5,27.5,26.8,27.0,30.0,30.0
74,12.0,13.0,14.0,17.0,19.5,21.9,23.5,25.5,27.0,29.7,32.0,33.0,33.5,32.0,29.8,28.0,28.0,28.5,30.5,30.5
63,14.0,15.0,16.0,18.4,21.0,23.1,24.5,27.0,29.0,32.3,34.0,35.0,35.5,33.5,31.0,29.0,29.5,30.0,31.0,31.0
51,17.0,18.0,18.5,20.0,22.3,25.0,27.0,31.1,34.3,37.0,38.0,39.0,40.0,38.5,34.5,32.0,31.6,32.0,34.2,34.2
40,20.0,21.0,21.5,22.4,24.0,26.9,30.0,35.1,39.5,41.3,42.5,43.0,45.0,43.0,37.5,34.5,33.7,34.0,37.0,37.0
28,23.0,23.5,24.0,24.2,25.5,28.2,32.5,38.4,43.0,44.9,45.0,45.0,45.0,45.0,42.0,38.0,36.4,36.0,40.5,40.5
20,25.0,25.5,10.0,13.5,15.0,15.0,15.0,22.5,30.0,32.5,35.0,35.0,35.0,40.0,45.0,41.0,38.0,37.5,42.0,42.0
11,27.0,27.5,10.0,13.5,15.0,15.0,15.0,22.5,30.0,32.5,35.0,35.0,35.0,40.0,45.0,44.0,40.0,39.0,44.0,44.0
