map_kpa \ rpm,0,500,750,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,11000
260,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-9.0,-8.0,-8.0,-5.0,-1.0,0.0,-1.0,1.0,3.0,4.0,6.0,9.0,9.0,9.0
240,-10.0,-10.0,-10.0,-10.0,-10.0,-8.0,-7.0,-5.0,-5.0,-2.0,2.0,3.0,2.0,4.0,6.0,7.0,9.0,12.0,12.0,9.0
220,-10.0,-10.0,-10.0,-10.0,-10.0,-5.0,-4.0,-2.0,-2.0,1.0,5.0,7.0,5.0,7.0,9.0,10.0,12.0,15.0,15.0,12.0
200,-10.0,-10.0,-10.0,-10.0,-7.0,-2.0,-1.0,1.0,1.0,5.0,7.0,8.0,8.0,10.0,9.0,13.0,15.0,18.0,18.0,15.0
180,-10.0,-10.0,-10.0,-6.0,-4.0,1.0,2.0,4.0,4.0,6.0,8.0,9.0,10.0,10.0,11.0,14.0,18.0,21.0,21.0,18.0
160,-8.0,-8.0,-8.0,-3.0,-1.0,4.0,5.0,7.0,7.0,7.0,11.0,12.0,13.0,12.0,13.0,16.0,20.0,24.0,24.0,21.0
140,-5.0,-5.0,-5.0,1.0,2.0,7.0,8.0,10.0,9.0,12.0,15.0,15.0,16.0,16.0,15.0,18.0,22.0,26.0,26.0,24.0
120,-2.0,-2.0,-3.0,4.0,4.0,10.0,11.0,12.0,15.0,18.0,20.0,20.0,20.0,20.0,20.0,23.0,27.0,31.0,31.0,26.0
100,-1.0,-1.0,-2.0,7.0,8.0,12.0,14.0,14.0,20.0,22.0,25.0,25.0,25.0,25.0,25.0,26.0,30.0,34.0,34.0,31.0
90,2.0,2.0,2.0,7.0,9.0,14.0,17.0,17.0,20.0,26.0,27.0,27.0,27.0,27.0,27.0,28.0,32.0,34.0,34.0,34.0
80,3.0,3.0,6.0,8.0,15.0,19.0,21.0,21.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,34.0,35.0,35.0,35.0
70,6.0,6.0,10.0,10.0,17.0,21.0,23.0,24.0,27.0,29.0,30.0,30.0,30.0,30.0,30.0,31.0,34.0,35.0,35.0,35.0
60,15.0,13.0,13.0,18.0,20.0,23.0,24.0,25.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,32.0,34.0,36.0,36.0,36.0
50,11.0,8.0,9.0,13.0,20.0,24.0,25.0,26.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,34.0,37.0,37.0,37.0,37.0
40,5.0,5.0,5.0,9.0,16.0,26.0,27.0,29.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,38.0,38.0,38.0,38.0
30,5.0,5.0,5.0,5.0,12.0,19.0,25.0,32.0,34.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
20,5.0,5.0,5.0,5.0,12.0,19.0,25.0,32.0,34.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
10,5.0,5.0,5.0,5.0,8.0,13.0,18.0,24.0,24.0,28.0,28.0,28.0,33.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
0,5.0,5.0,5.0,5.0,8.0,13.0,18.0,24.0,24.0,28.0,28.0,28.0,33.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
