map_kpa \ rpm,600,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000
320,-10.0,-10.0,-10.0,-8.0,-8.0,-5.0,-1.0,0.0,-1.0,1.0,3.0,4.0,6.0,9.0,9.0,9.0
300,-10.0,-10.0,-10.0,-8.0,-8.0,-5.0,-1.0,0.0,-1.0,1.0,3.0,4.0,6.0,9.0,9.0,9.0
270,-10.0,-10.0,-10.0,-8.0,-8.0,-5.0,-1.0,0.0,-1.0,1.0,3.0,4.0,6.0,9.0,9.0,9.0
240,-10.0,-10.0,-8.0,-5.0,-5.0,-2.0,2.0,3.0,2.0,4.0,6.0,7.0,9.0,12.0,12.0,11.6
210,-10.0,-10.0,-3.5,-0.5,-0.5,3.0,6.0,7.5,6.5,8.5,9.0,11.5,13.5,16.5,16.5,16.1
190,-10.0,-8.0,-0.5,2.5,2.5,5.5,7.5,8.5,9.0,10.0,10.0,13.5,16.5,19.5,19.5,19.1
160,-8.0,-3.0,4.0,7.0,7.0,7.0,11.0,12.0,13.0,12.0,13.0,16.0,20.0,24.0,24.0,23.6
130,-3.7,2.5,8.5,11.0,12.0,15.0,17.5,17.5,18.0,18.0,17.5,20.5,24.5,28.5,28.5,28.0
110,-1.9,5.5,11.0,13.0,17.5,20.0,22.5,22.5,22.5,22.5,22.5,24.5,28.5,32.5,32.5,31.9
100,-1.4,7.0,12.0,14.0,20.0,22.0,25.0,25.0,25.0,25.0,25.0,26.0,30.0,34.0,34.0,33.6
90,2.0,7.0,14.0,17.0,20.0,26.0,27.0,27.0,27.0,27.0,27.0,28.0,32.0,34.0,34.0,34.0
80,4.2,8.0,19.0,21.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,34.0,35.0,35.0,35.0
70,7.6,10.0,21.0,24.0,27.0,29.0,30.0,30.0,30.0,30.0,30.0,31.0,34.0,35.0,35.0,35.0
60,13.0,18.0,23.0,25.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,32.0,34.0,36.0,36.0,36.0
45,6.7,11.0,25.0,27.5,31.0,33.5,33.5,33.5,33.5,33.5,33.5,34.5,37.5,37.5,37.5,37.5
30,5.0,5.0,19.0,32.0,34.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
15,5.0,5.0,16.0,28.0,29.0,33.0,33.0,33.0,35.5,38.0,38.0,38.0,38.0,38.0,38.0,38.0
