map_kpa \ rpm,600,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000
320,-3.0,-2.8,-2.5,-1.9,-1.3,-0.7,-0.1,0.5,1.7,2.4,3.0,3.6,4.2,4.8,5.4,6.0
300,-1.7,-1.5,-1.2,-0.6,0.0,0.6,1.2,1.8,3.0,3.7,4.3,4.9,5.5,6.1,6.7,7.3
270,0.3,0.5,0.8,1.4,2.0,2.6,3.2,3.7,4.9,5.5,6.1,6.7,7.3,7.9,8.5,9.1
240,2.2,2.4,2.7,3.3,3.9,4.5,5.1,5.6,6.8,7.4,8.0,8.6,9.2,9.8,10.4,11.0
210,4.2,4.5,4.8,5.4,6.1,6.8,7.5,8.2,9.6,10.3,11.0,11.6,12.3,13.0,13.7,14.4
190,6.4,6.8,7.4,7.9,8.5,9.3,10.0,10.8,12.3,13.0,13.8,14.5,15.3,16.0,16.8,17.5
160,7.0,8.2,9.8,11.3,12.9,13.0,13.8,14.7,16.4,17.2,18.0,18.9,19.7,20.6,21.4,22.2
130,7.6,8.9,10.5,12.1,13.7,15.4,17.0,18.6,20.4,21.4,22.3,23.2,24.2,25.1,26.0,27.0
110,9.1,10.1,12.4,14.8,17.1,19.4,20.9,22.4,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30.1
100,10.0,12.3,15.2,18.1,21.0,21.3,22.8,24.3,24.5,25.5,26.5,27.6,28.6,29.6,30.6,31.7
90,10.0,12.6,15.9,19.1,22.4,23.2,24.8,26.1,26.5,26.9,28.0,29.0,30.1,31.1,32.2,33.2
80,10.0,12.9,16.6,20.1,23.8,25.1,26.8,28.0,28.5,28.3,29.4,30.4,31.6,32.7,33.8,34.8
70,10.0,13.2,17.2,21.2,25.2,27.0,28.7,29.9,30.5,29.7,30.8,31.9,33.0,34.2,35.3,36.4
60,20.0,19.2,17.9,22.4,26.6,28.8,30.7,31.8,32.5,32.1,33.4,34.7,36.0,37.2,38.5,39.8
45,20.0,19.6,18.9,23.8,28.8,31.7,33.5,34.5,35.5,35.8,37.4,38.9,40.4,41.9,43.5,45.0
30,20.0,20.1,19.9,25.4,30.9,34.5,35.8,37.2,38.5,39.5,40.4,41.3,42.2,43.2,44.1,45.0
15,20.0,20.5,20.9,26.9,33.0,33.3,35.0,36.8,38.5,39.5,40.4,41.3,42.2,43.2,44.1,45.0
